JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism
0.5192538,0.290943,0.0036603455,1.0338058,-0.000503608,0.52102643,0.8319164,0.05302298,0.21744424,-0.0040513203,0.515767,-0.0037065018,0.7537024,0.5239043,0.2303113,0.22623202,0.21383521,0.22940734,0.18972309,-0.0010036244,0.006394783,0.541433,0.47699195,0.43768415,1.0401846,0.5888027,0.51624125,0.044787187
0.4319551,0.2515908,-0.003654167,0.8764591,-0.00016385783,0.44558662,0.70229113,0.042626545,0.18516938,-0.0018048435,0.43531638,-0.002649689,0.6497455,0.4355185,0.19528994,0.19511247,0.17648035,0.19570163,0.17609812,0.0023714309,0.005876394,0.46067414,0.39896494,0.36266202,0.8814048,0.49180713,0.4358665,0.041329503
0.46034342,0.2632023,-0.0012749713,0.9257644,-0.0014757039,0.47219056,0.7426961,0.046531223,0.19748886,-0.0025667846,0.4592102,-0.0027914103,0.68154645,0.4628488,0.20727327,0.20596269,0.18917903,0.20637807,0.17935356,0.00046245055,0.00524872,0.48546556,0.4235214,0.38680658,0.931783,0.52336943,0.46015108,0.041732322
0.5431221,0.3023663,0.00521064,1.0750868,-0.00023734849,0.5417007,0.86627215,0.055064015,0.22693251,-0.003155928,0.5388394,-0.004291497,0.78051996,0.5459224,0.23907575,0.234988,0.22323021,0.23721427,0.19352818,-0.0016102637,0.006586183,0.5637994,0.49627352,0.45763195,1.0812637,0.614327,0.53905034,0.046189737
0.50645417,0.28493237,-0.0003534155,1.0126445,-0.0025792615,0.51397663,0.8126607,0.051612467,0.21608914,-0.004664302,0.50249106,-0.003500063,0.73642415,0.51024294,0.22737849,0.22101375,0.21031135,0.22663109,0.1860798,-0.001263143,0.0059878044,0.5314553,0.46336067,0.42713737,1.0169737,0.57576936,0.5053232,0.044365477
0.5436138,0.30193037,0.0029539298,1.0840846,-0.004206733,0.5467584,0.8701548,0.05735399,0.22972198,-0.006902531,0.5378769,-0.0035934392,0.7842415,0.5508987,0.24232525,0.23322713,0.22772086,0.2430897,0.1892038,-0.0041757985,0.008041685,0.5683059,0.4998992,0.46124187,1.0902685,0.6217497,0.54140365,0.045892935
0.45824417,0.26407602,-0.00085710175,0.92591137,-0.0012161443,0.47121617,0.74295205,0.04621283,0.19617702,-0.0036106184,0.45955795,-0.0031198058,0.68205035,0.4623145,0.20541236,0.2031737,0.188184,0.20664313,0.1771963,0.0003046007,0.007723961,0.4869999,0.42384607,0.38788864,0.9316686,0.5253808,0.46167007,0.04224378
0.5152445,0.29023218,0.0026102168,1.0257864,-0.00028072577,0.51760215,0.8251315,0.051358446,0.21609454,-0.0031382293,0.51418036,-0.0039893426,0.7467769,0.5185139,0.22736973,0.22451106,0.21092993,0.22723238,0.18815489,-0.00088010496,0.0071983673,0.538217,0.47110754,0.43405774,1.0317347,0.5828998,0.51435554,0.04503179
0.54786,0.30434564,0.0072010756,1.0808376,-0.0040651793,0.5503649,0.8730765,0.0582242,0.23428619,-0.0049612895,0.5357232,-0.0038053524,0.78510994,0.5478897,0.2421535,0.23865366,0.22999233,0.24185655,0.1971533,-0.0024108342,0.0033877734,0.565778,0.49825752,0.46103063,1.0865278,0.6213127,0.5383317,0.04193603
0.53250563,0.29638723,0.004682597,1.0634801,-0.001352991,0.53194094,0.8564411,0.056622162,0.22168787,-0.00075629354,0.5266334,-0.0032722428,0.7664667,0.54169923,0.24014089,0.23545063,0.22343671,0.23233013,0.1933855,-0.00011592591,0.0074585434,0.555593,0.48861706,0.45153788,1.0719391,0.6033248,0.5347535,0.049657363
0.5017492,0.28094274,0.0034686457,0.99682033,-0.0010300437,0.50663865,0.80401003,0.051899284,0.21360219,-0.0021914467,0.49439776,-0.0027283859,0.72986495,0.5024314,0.2210224,0.2213516,0.20563513,0.219355,0.1873232,-0.0010282001,0.0064702556,0.52152616,0.4619133,0.42135772,1.0015528,0.56907225,0.49453762,0.04215854
0.56760514,0.3140843,0.0078703035,1.1216015,-0.00046169478,0.56149304,0.90446955,0.05814673,0.23435648,-0.0029880144,0.56167835,-0.0046377983,0.8106359,0.5727414,0.250162,0.24278131,0.23348263,0.247573,0.19568461,-0.002991525,0.0085047,0.5883191,0.520918,0.47943637,1.1298169,0.6441649,0.5624132,0.04670177
0.42556682,0.24576043,-0.0024734326,0.8652719,-7.151626e-06,0.44273403,0.6949214,0.04317054,0.18260226,0.0004170686,0.42568466,-0.0010637343,0.64349693,0.42788526,0.19204354,0.19146788,0.17294094,0.1926956,0.17576392,0.0018114173,0.003868211,0.4524824,0.39814103,0.35831904,0.8653297,0.4837762,0.43173218,0.039924417
0.41749957,0.24338396,-0.0014741197,0.8473535,0.0007145619,0.43488935,0.68062395,0.042783387,0.18020663,-0.0029974207,0.42007768,-0.0024397392,0.6333908,0.41958985,0.18819723,0.19029734,0.17035428,0.1886528,0.1724671,0.002369138,0.0065656863,0.4448568,0.3888421,0.35150936,0.8545501,0.4784553,0.4212336,0.040528283
0.45798984,0.2651604,-0.0003103856,0.9243146,-0.0004906701,0.46827802,0.7425525,0.046098113,0.19551288,-0.002072975,0.45883417,-0.0024257842,0.68152255,0.46177295,0.20715651,0.20146096,0.18768778,0.20654784,0.17918923,0.00084442133,0.006674215,0.48368612,0.42285347,0.38533792,0.93075573,0.52137727,0.45927578,0.041708793
0.52175814,0.29207724,0.004248051,1.0369536,-0.0014529908,0.52467996,0.83517516,0.05347283,0.21986426,-0.0035610534,0.51731735,-0.0038764086,0.75429296,0.5252356,0.22981635,0.22662297,0.21421859,0.22936311,0.188084,-0.0011087931,0.007904064,0.54441094,0.47917026,0.4403501,1.0431827,0.593229,0.51809764,0.043978382
0.5145748,0.28975847,0.0003079623,1.0263433,-0.0023351572,0.51829547,0.8231439,0.051553078,0.21814021,-0.0041104853,0.5118535,-0.0031639542,0.7454854,0.51862514,0.22955748,0.22422042,0.21247274,0.22909349,0.1886507,-0.0014719483,0.0050964076,0.53686076,0.46902663,0.43256328,1.0305138,0.5810763,0.5121461,0.044859502
0.5213476,0.29371676,0.0013818862,1.0382842,-0.001816961,0.52545226,0.83475745,0.05175174,0.220629,-0.0026509613,0.5196753,-0.004151428,0.7533846,0.5240177,0.23071083,0.22642675,0.21439725,0.23002204,0.18816645,-0.0010776087,0.0070048515,0.546628,0.47487056,0.4401147,1.0427109,0.59127414,0.5207501,0.04511465
0.48649445,0.27706125,0.0017712731,0.9762015,-0.00034096185,0.49222186,0.7845133,0.048568413,0.20458545,-0.0029338934,0.48645073,-0.0032498576,0.7159736,0.49119458,0.21608663,0.21371555,0.19864666,0.21676187,0.18374306,-0.00025930395,0.0071283467,0.5121812,0.44918096,0.41044965,0.9818897,0.5538767,0.4869416,0.042941373
0.4548958,0.26233917,-0.0026869662,0.91970074,-0.0032564783,0.46746227,0.7351854,0.0456601,0.19565932,-0.0038103908,0.45531973,-0.0028908402,0.6756193,0.45962244,0.2050513,0.20228773,0.18741709,0.20623681,0.17744504,0.00047609443,0.0048806053,0.4815209,0.4185605,0.38274226,0.9245533,0.51793736,0.45574084,0.041051906
0.4967858,0.28118265,0.0030764472,0.9906486,0.00018341001,0.50205773,0.7978199,0.050005652,0.20887592,-0.0027353577,0.49637645,-0.0034701545,0.7266133,0.49960342,0.21885407,0.21878025,0.2030549,0.21883164,0.18600072,0.0002995287,0.0067900643,0.5202036,0.4558013,0.41903463,0.99749386,0.5631686,0.4957372,0.04393784
0.44074896,0.25711793,0.00069974177,0.9083149,-6.036926e-05,0.45280248,0.7188602,0.050413877,0.17632307,0.0054079816,0.45566913,-0.00831975,0.66872233,0.4515199,0.19626456,0.20792735,0.17189974,0.21216886,0.17141128,0.0151667055,0.0025966316,0.4703814,0.4040215,0.38010728,0.9052649,0.4987927,0.43504643,0.039356407
0.4949118,0.28036365,0.0006773211,0.9874782,-0.0004496919,0.5012833,0.79365045,0.04863865,0.20998977,-0.0035861805,0.49454665,-0.0034223776,0.7219338,0.49674222,0.21818525,0.21761298,0.2020343,0.2191653,0.18544793,-0.00025575375,0.0061290413,0.51748985,0.4513138,0.4167227,0.9918679,0.5590826,0.49442372,0.044648014
0.48111737,0.27408743,-0.00017484464,0.966309,-0.0003469363,0.49010918,0.77686626,0.048487626,0.20456047,-0.0029601008,0.48096666,-0.0033154078,0.7083177,0.48445037,0.21598041,0.212275,0.19782451,0.21525715,0.18256557,0.0003172825,0.0072343666,0.50844055,0.4427101,0.40584353,0.9715239,0.5480291,0.48294988,0.043420285
0.4770244,0.27466422,0.0012316639,0.95764697,0.0020788098,0.48514447,0.76979876,0.047862455,0.20044689,-0.002876103,0.47942165,-0.0070399474,0.7042582,0.48191458,0.20913187,0.21285263,0.19583023,0.21234334,0.18360293,0.0003201426,0.005411528,0.502245,0.4397629,0.40247142,0.9627944,0.54173666,0.47847605,0.044745404
0.47401074,0.2712018,-0.00048794597,0.95230824,0.00034883153,0.48351344,0.7655162,0.047795206,0.19922929,-0.002366785,0.47498924,-0.0031404216,0.70052105,0.4777407,0.21216753,0.20989716,0.19409922,0.20989609,0.18120164,-0.0008795648,0.007266443,0.5025906,0.43654954,0.39763483,0.95835435,0.5392276,0.47387975,0.041654464
0.44772905,0.2604386,-0.0012312941,0.90020394,0.0005796021,0.4568553,0.7227777,0.04244092,0.19140755,-0.0011631995,0.45211408,-0.003006082,0.6656007,0.44797632,0.19810817,0.20014864,0.18099901,0.19929172,0.18023783,0.003524019,0.0042436253,0.47158232,0.40831143,0.37414673,0.90406865,0.50310135,0.44845653,0.041661065
0.5156525,0.29152152,-0.0075670388,1.0344319,0.0010093926,0.5205343,0.8239904,0.048424266,0.21910168,-0.004133139,0.51089156,-0.0041118506,0.7433382,0.525283,0.22805241,0.22511193,0.21263054,0.2292794,0.19345157,-0.00515384,0.0068947896,0.539584,0.46975428,0.43397036,1.0323917,0.5836466,0.51653564,0.04565638
0.5297887,0.29739228,0.0044115745,1.0514635,-0.0005770968,0.5274818,0.8459382,0.05248893,0.22059293,-0.0023717657,0.52717125,-0.0038121678,0.76440257,0.53341335,0.23357192,0.22943881,0.21593025,0.2325712,0.19207035,-0.00061870506,0.005555857,0.550085,0.48408908,0.44516033,1.0568527,0.59689856,0.52527004,0.044773962
0.4820823,0.27493125,-1.2599863e-05,0.963826,-0.00091675017,0.48892018,0.7738591,0.046228774,0.20377614,-0.0028093383,0.4826723,-0.004349731,0.7064625,0.4843765,0.2140854,0.21370763,0.19657162,0.21366513,0.18353671,0.0006516953,0.0048185177,0.5047967,0.44016784,0.40454984,0.9675236,0.5433212,0.48059633,0.04375829
0.42378142,0.24766263,-0.0037131328,0.8612118,-0.00062994007,0.43908828,0.68904066,0.041324466,0.18208651,-0.0036192462,0.4273616,-0.0023074541,0.6394572,0.42708188,0.18987015,0.19173661,0.17268592,0.19224438,0.17387365,0.0016173911,0.005226236,0.45052886,0.39152843,0.3556921,0.86573523,0.48164994,0.4267801,0.040604346
0.4532548,0.2610603,-0.0034219148,0.91808796,-0.0025617974,0.46773428,0.7346236,0.04541754,0.19570136,-0.0034413822,0.45315588,-0.002906166,0.6746241,0.45726785,0.20568538,0.20188397,0.18735063,0.20583,0.17671043,-7.950282e-05,0.0060028285,0.48244035,0.4181795,0.3821228,0.92257094,0.51861906,0.4558377,0.04148413
0.45448428,0.26287127,-0.003520051,0.9172031,0.0006867787,0.4694824,0.734749,0.04403115,0.19457039,-0.001337178,0.4548305,-0.002248915,0.67541605,0.45507875,0.200804,0.20012116,0.18479952,0.20278886,0.17888743,-7.732352e-05,0.007947944,0.48355776,0.41993433,0.38509488,0.9220086,0.52153426,0.4568665,0.04240148
0.5110099,0.28694603,0.0007243622,1.0228571,-0.0034045363,0.517997,0.8202651,0.05355954,0.21764807,-0.004972622,0.5055646,-0.0035946462,0.74334323,0.5162346,0.22895935,0.22295815,0.21290025,0.22842504,0.1856709,-0.0023881695,0.0066043977,0.5359648,0.47014248,0.43186796,1.0276288,0.5833898,0.5084103,0.04379585
0.45340294,0.260904,-0.0013030227,0.91522723,-0.0031509744,0.46705723,0.7328235,0.04612837,0.19560511,-0.00403779,0.45226863,-0.0028282404,0.6738633,0.45727864,0.20239076,0.20171323,0.18646455,0.20417783,0.17654686,-1.0875519e-05,0.0058935955,0.47934848,0.41892838,0.38243043,0.920324,0.5187695,0.45332718,0.040662955
0.5543721,0.30860102,0.0063084234,1.0953922,-0.00013938267,0.5491234,0.8827122,0.055274054,0.22966571,-0.0027452558,0.55091774,-0.004369704,0.7929195,0.55786777,0.24323264,0.23812476,0.22621214,0.24182376,0.19529884,-0.0010894439,0.0068261176,0.5739435,0.5055918,0.46645945,1.1015445,0.6243717,0.54927427,0.04622833
0.49662542,0.27962404,0.00021717325,0.99627614,-0.0015686126,0.505329,0.80022234,0.051822856,0.21128486,-0.005192876,0.49362883,-0.0031667762,0.728014,0.5019084,0.22305068,0.21802855,0.20671555,0.22334069,0.18383214,-0.0023150793,0.007910302,0.52285016,0.45816487,0.42042568,1.0025283,0.56811076,0.49805287,0.04443922
0.40968013,0.24124506,-0.0037930533,0.83756447,-0.00040372368,0.42880943,0.6704758,0.04060992,0.17725605,-0.0027537718,0.41386953,-0.0026307032,0.62469566,0.4132677,0.18519959,0.18667251,0.16734809,0.18686889,0.17025779,0.0017420803,0.0068314336,0.44080475,0.38177097,0.3456972,0.843391,0.47124112,0.41583383,0.039783407
0.5853817,0.32129332,0.0064882636,1.1564015,-0.0025118375,0.58198524,0.931958,0.062026195,0.24544506,-0.0055907443,0.577471,-0.004827542,0.832217,0.59089804,0.25947094,0.24927884,0.2445991,0.25720876,0.19744353,-0.0039247028,0.00859192,0.60744935,0.5350824,0.49621177,1.1632143,0.66636395,0.5809295,0.04829463
0.5808188,0.31862077,0.00637451,1.1442732,-0.002443702,0.5773535,0.9229162,0.060556173,0.24423061,-0.0041035563,0.57090706,-0.00460436,0.8237753,0.583975,0.2549048,0.24859527,0.24109507,0.25272566,0.19794303,-0.004103211,0.008071201,0.60050845,0.52975357,0.49100772,1.1495667,0.65908897,0.5735826,0.04702859
0.5339512,0.2987921,0.0049134623,1.0605114,-0.00069813896,0.53367585,0.854148,0.05423321,0.22314969,-0.002758041,0.53121036,-0.004204251,0.771089,0.5382137,0.23539692,0.23112804,0.21927953,0.23430906,0.19093199,-0.001243846,0.0077157635,0.5572733,0.48969173,0.45100567,1.0672054,0.60659176,0.5315288,0.04561316
0.5236368,0.2926794,0.00018553995,1.045326,-0.0019248882,0.5249359,0.8390962,0.053216115,0.21980977,-0.0036118403,0.5193121,-0.0031914692,0.7593095,0.5302468,0.23546597,0.22776785,0.217644,0.23430401,0.1914829,-0.0012454591,0.006022144,0.5482332,0.4796803,0.44088027,1.0499996,0.5932382,0.52120787,0.045548093
0.5149534,0.28619277,-0.0020082295,1.0297041,-0.0035161236,0.52406865,0.82701075,0.052973457,0.2218821,-0.006869331,0.5053169,-0.0035978183,0.74492913,0.5197151,0.23176223,0.22703731,0.21735802,0.2316393,0.18805318,-0.004705367,0.006189335,0.53934705,0.47096205,0.4342082,1.032906,0.58708686,0.51215553,0.04386169
0.48645574,0.27384615,0.0021863896,0.973021,0.00013121124,0.49424583,0.7832088,0.051083267,0.20599115,-0.004004188,0.48299623,-0.0031333063,0.71502674,0.49020573,0.21869397,0.21525317,0.2011618,0.21688947,0.18374017,-0.00019612303,0.00717799,0.5101087,0.4500293,0.40991277,0.98123753,0.5547346,0.48522562,0.04382595
0.60550964,0.32932594,0.00800379,1.1895252,-1.1906959e-05,0.5932868,0.9602215,0.06308174,0.24878441,-0.0035835803,0.5956662,-0.004473537,0.8563423,0.6118249,0.2685972,0.25804994,0.25171205,0.2640046,0.20642976,-0.0023465655,0.0069361962,0.62357664,0.55248296,0.50982255,1.1966343,0.68226606,0.59653986,0.04960857
0.49381584,0.2808169,0.0003828928,0.98621356,-0.0007113302,0.4987507,0.79176515,0.047361553,0.2089074,-0.0028129742,0.4942433,-0.00361876,0.7201573,0.49607864,0.21757251,0.2169179,0.20054132,0.2184086,0.1861209,0.0005841539,0.0049909204,0.5167286,0.44967747,0.41471574,0.98950464,0.5561296,0.49255627,0.043830354
0.5677867,0.3125754,0.005459832,1.1247362,-0.003324465,0.5672039,0.9049639,0.059710175,0.23886913,-0.0061997697,0.56016964,-0.0040732007,0.81186986,0.5737633,0.25089106,0.2426959,0.2366041,0.25088426,0.19418459,-0.00447726,0.008132065,0.58994246,0.52031195,0.48175216,1.1310478,0.64763504,0.56377643,0.04713398
0.5450641,0.30357394,0.0033915825,1.0815526,-0.0019625435,0.54355156,0.8701446,0.055373847,0.22879744,-0.0026452988,0.54014117,-0.0037351958,0.78236866,0.54894876,0.24319637,0.23515373,0.22481969,0.24060684,0.19250873,-0.0022655814,0.006606851,0.566958,0.4976592,0.45896024,1.0870603,0.6164685,0.54084104,0.045745146
0.5334274,0.29572767,0.0009730365,1.0625944,-0.0022675237,0.5403475,0.85968405,0.053275518,0.22741176,-0.0012702867,0.5279448,-0.0033610836,0.7786188,0.54079765,0.24018475,0.22688004,0.22245106,0.23305437,0.1950124,-0.0047279536,0.011137607,0.55842847,0.495341,0.45261323,1.0716473,0.6019171,0.53602594,0.038158003
0.4491211,0.25656056,-0.001427494,0.9074614,-0.0008702008,0.46500888,0.72849864,0.047234923,0.19414335,-0.004585739,0.44749334,-0.0025088452,0.6716465,0.45231682,0.20364228,0.20185804,0.18652654,0.20332523,0.17666005,-0.00026272563,0.006775655,0.47621235,0.417107,0.37928104,0.91429263,0.5157521,0.4513491,0.04218935
0.48507938,0.27552894,0.0001017116,0.97177637,-0.0024526091,0.4968284,0.7808733,0.04952637,0.20876119,-0.0038861185,0.48465866,-0.003227191,0.7120446,0.48729768,0.21591175,0.21433833,0.20063224,0.21614921,0.18185294,-0.0004874072,0.007003363,0.51137376,0.4443364,0.41096961,0.9772247,0.5535312,0.48712245,0.04422463
0.5753829,0.31686994,0.0051023345,1.1386031,-0.0027518915,0.57130814,0.9164571,0.059496276,0.24043775,-0.0042122304,0.5674832,-0.004281072,0.8189904,0.5809413,0.25536275,0.24561194,0.23915473,0.25315773,0.19599617,-0.004389459,0.008184597,0.5973003,0.5262808,0.4861331,1.1446217,0.65329057,0.5700832,0.046873596
0.4880931,0.277831,-0.0002998961,0.97801614,-0.0021907827,0.49509344,0.7842639,0.04852114,0.20731802,-0.0033045784,0.48718092,-0.0031778924,0.7143557,0.491477,0.21825665,0.21413428,0.20054916,0.21797195,0.18371668,0.00034362776,0.005014777,0.51247776,0.44663966,0.41008112,0.9824808,0.5524237,0.48647046,0.04291641
0.47528574,0.2693047,-0.0015251553,0.9470155,0.0063837403,0.4861296,0.7624292,0.048781253,0.20568201,-0.0028920844,0.47452912,0.000706397,0.6980952,0.47678068,0.20736653,0.21617886,0.19908202,0.21126926,0.18108143,0.00084300945,0.0039131083,0.4977847,0.43055278,0.39878264,0.9577592,0.5309986,0.4688918,0.034848224
0.4852741,0.27534026,0.001046666,0.97434485,-0.0009835651,0.492314,0.7826365,0.04924711,0.20444496,-0.002638273,0.48320588,-0.0031343773,0.713959,0.49030933,0.21779501,0.2138677,0.19982901,0.2167579,0.18249339,-0.0012083272,0.007285582,0.51156837,0.4490854,0.40936926,0.9814788,0.55434495,0.48520023,0.04277963
0.5046065,0.28520486,-0.0006772019,1.0116022,-0.0036349976,0.51378113,0.810956,0.052038155,0.21637414,-0.005586937,0.5022111,-0.003365919,0.737045,0.50948346,0.22480509,0.21988451,0.21023089,0.22618802,0.18528947,-0.0014727782,0.0061565638,0.5312556,0.4621793,0.42738485,1.015096,0.57608885,0.5048247,0.044240523
0.51383597,0.29167494,0.0010289643,1.0226755,-0.005586247,0.51612455,0.8214284,0.05367738,0.22109915,-0.004946299,0.5144535,-0.0036907755,0.7484837,0.5177215,0.22647858,0.22700045,0.21372774,0.22749348,0.18885936,-0.000787267,0.004311776,0.53411347,0.46713722,0.4319138,1.0254955,0.5810077,0.5115449,0.046832778
0.50826263,0.28759426,-0.00060549565,1.011048,-0.00042851362,0.51162493,0.8119957,0.047938272,0.21393473,-0.0018286817,0.507482,-0.0042855386,0.73401207,0.5093553,0.22389016,0.22221681,0.20734978,0.22382365,0.188203,0.00033760862,0.0051470585,0.52979,0.46035177,0.425814,1.0141664,0.5706168,0.5062057,0.045004636
0.4691636,0.26509762,0.0016972292,0.93713266,8.287933e-05,0.47825313,0.7558282,0.048386954,0.20065483,-0.0011884719,0.4622867,-0.0026966874,0.6899951,0.4694561,0.20830712,0.21029794,0.19159141,0.205983,0.18189508,-0.00050055,0.007334657,0.4907685,0.43485463,0.3931785,0.9428835,0.53403825,0.4639775,0.04035986
0.48396218,0.27411854,9.70345e-06,0.97508526,-0.0016878629,0.49224034,0.78225666,0.050824344,0.20520826,-0.0044105127,0.4809993,-0.003091989,0.71356237,0.49055886,0.22032207,0.21297166,0.20161656,0.21890768,0.18155086,-0.001684438,0.007476518,0.51098114,0.44941843,0.40840787,0.9823487,0.5545062,0.48466337,0.042924006
0.46463805,0.266219,0.0004944457,0.9341236,0.00075494964,0.4751839,0.7513371,0.04639812,0.19732851,-0.0018495545,0.4656367,-0.0037663039,0.6878846,0.46707785,0.20750877,0.20720083,0.18971494,0.2064853,0.17964229,0.0008196593,0.007698059,0.49212882,0.42903644,0.3916358,0.94114125,0.5302855,0.46725136,0.042502653
0.44903922,0.2600188,-0.0017769132,0.9044951,-0.0013477104,0.46183848,0.7252173,0.04391318,0.1931852,-0.0023420528,0.45128402,-0.002801586,0.667897,0.45043424,0.19950292,0.20082471,0.18251935,0.20086099,0.17786013,0.0016683475,0.004870098,0.4745463,0.4114445,0.37755498,0.908617,0.5094701,0.4503858,0.041566577
0.39837062,0.23660661,-0.0041593183,0.8135159,7.4814074e-05,0.417194,0.6509434,0.038317792,0.17292272,-0.0026969463,0.40441903,-0.002294749,0.6095135,0.4002113,0.17836249,0.18259853,0.1605916,0.1811576,0.17043753,0.0036181645,0.0048024356,0.4264602,0.36868936,0.33431655,0.8176874,0.45359063,0.4032497,0.03947905
0.51300025,0.28757265,0.0034841206,1.022463,4.6705827e-06,0.5177577,0.82372266,0.052859828,0.21643765,-0.0039473996,0.5103738,-0.0037422907,0.74700344,0.5166073,0.22740233,0.22430542,0.2112295,0.22694728,0.18754268,-0.0013001463,0.008094484,0.53727996,0.47209316,0.4338608,1.029162,0.5846012,0.5128285,0.0451505
0.48042205,0.27446485,0.0004647933,0.9598298,-0.00011733826,0.48647344,0.77142525,0.046512052,0.20292462,-0.001016885,0.48058838,-0.0033475421,0.70376337,0.481835,0.21310431,0.21285567,0.19487154,0.21221367,0.18431772,0.0011925646,0.0050435998,0.50333416,0.43843323,0.40290263,0.96501815,0.5412194,0.47899848,0.042785514
0.5505509,0.30643997,0.0050114077,1.0901693,-0.00063800905,0.5489946,0.8789445,0.055452526,0.23018247,-0.002371274,0.5463898,-0.004474722,0.78854394,0.55376744,0.24369216,0.23701161,0.22596568,0.24120927,0.19316201,-0.0013816818,0.008134503,0.57367563,0.50262177,0.46476144,1.0963548,0.62367886,0.5474248,0.046221163
0.4913101,0.28015733,0.0016242191,0.9761369,-0.00010417495,0.49308783,0.78885525,0.053986043,0.20419206,-0.004295949,0.49162164,-0.0048379675,0.7194152,0.4846846,0.2163293,0.21588889,0.20195392,0.21842428,0.18553263,0.00071587274,0.008540282,0.51396674,0.45269626,0.4069944,0.98696667,0.55960137,0.48749307,0.04440401
0.47311178,0.2702294,0.0016903374,0.94364834,0.0006818352,0.48003063,0.75973976,0.045769103,0.2005448,-0.0010602064,0.47226083,-0.0034141578,0.6939097,0.4726663,0.20706233,0.21031907,0.19052467,0.20680049,0.18339002,0.001634723,0.005722191,0.4947108,0.43322212,0.3961285,0.94813526,0.5334183,0.47013897,0.04177613
